reviewId,content,label
gp:AOqpTOEhZuqSqqWnaKRgv-9ABYdajFUB0WugPGh-SG-fgH355YH_t7J2q4xYo6ZzN3Mc7iSrrTV6ke8hG_fl4Q,I cannot open the app anymore,negative
gp:AOqpTOH0WP4IQKBZ2LrdNmFy_YmpPCVrV3diEU9KGm3fAX6VG0NAZCudCQpQRRI3GLL_tr8DQzUTP1hrOYG74A,I have been begging for a refund from this app for over a month and nobody is replying me,negative
gp:AOqpTOEMCkJB8Iq1p-r9dPwnSYadA5BkPWTf32Z1azuuTvqA9KWdTQqNNXWZsJEhmSuYUY_LmL-OdUIl4j70wg,Very costly for the premium version (approx Indian Rupees 910 per year). Better to download the premium version of this app from apkmos website and use it. Microsoft to do list app is far more better.,negative
gp:AOqpTOGFrUWuKGycpje8kszj3uwHN6tU_fd4gLVFy9z7hfGM7Gan22TJrN89NmGVEdj5o4U6W4I6slbTx8OsQw,"Used to keep me organized, but all the 2020 UPDATES have made a mess of things !!! Y cudn't u leave well enuf alone ??? Guess ur techies feel the need to keep making changes to justify continuing to collect their salary !!! ðŸ¤¤ðŸ¤¤ðŸ¤¤",negative
gp:AOqpTOHls7DW8wmDFzTkHwxuqFkdNQtKHmO6Pt9jhZEQ0Q2rDzcc9WMABIXZNu0pIJOhiFrA4uhMOLq1ZIWKQA,Dan Birthday Oct 28,negative
gp:AOqpTOEvElPsBa6k8rLDmk-WrEoJea98KUrIGYWodJeMVupSbNMymunFaONx09WflbZ3CLazVJJDAAp3dVvd1g,It has changed how I viewed my different lists. Now they are all jumbled together and I can't find what I need.,negative
gp:AOqpTOGHb-APKKMNFyL1OwuGq1AGW6bQp5aYYxSHvJxFL6ur8n__5GqPwFPNb10urenFAS-p4fxP4490-COB8A,"I'm only looking for a grocery list app but every time I tap away from the app I have to tap again (after opening it again) to see the list. I can't find a way to keep a certain list showing when I open or reopen the app. eta: in response to the reply, it doesn't work like that on my phone. Even if the grocery list is showing, when I open another app and then go back to the any.do app, the list of lists is showing and I have to retap to get the grocery list to show again.",negative
gp:AOqpTOEcxvv_c0CK3G5tHjxXsGSjbzD65OQ3og02p-q1rR1qyBmbJr6yE585uRIZ9xQPOMiP6V6LOdVmiJm3aw,"Reset my free trial, new phone I'd like to see if it's better.",negative
gp:AOqpTOHVgr7_qOhORsfPwnVCqX-n98dJ1Ksrps6q52pgv44BNu_oSk1oprSIE9CwfYefD-kFIRjzGo4F4CRMYQ,How do to stop monthly payment because i don't use this app anymore,negative
gp:AOqpTOHQ_paQ_ffWsMqGOWmMsPxs-pBkBgR_3H63WJvyqREYhe8SB2lwPZ9MbACWyyeSIEpLfak0sUQlcpCAwg,"I complain about not crashes and it was immediately fixed!Good job!! Now the crashes have returned! I really need it fixed because I need to change apps otherwise ðŸ˜© I followed your instructions on deleting the data, etc but it just now crashed again. I am a patient person and I have used Any Do for years but let's try one more time and then I will have to find another app. It crashed again ðŸ˜‘",negative
